seed,labeled_count,random_val_f1,random_test_f1,uncertainty_val_f1,uncertainty_test_f1,dataset,model_name,batch_size,epochs,learning_rate,initial_labeled,samples_per_iteration,num_iterations,pool_size,annotator_noise
42,100,0.6831315577078289,0.7182597055489577,0.6831315577078289,0.7182597055489577,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,110,0.6831315577078289,0.7182597055489577,0.6831315577078289,0.7182597055489577,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,120,0.6831315577078289,0.7182597055489577,0.7294109309420337,0.7429584654426444,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,130,0.7444699513424811,0.745443852463969,0.7454571823385949,0.7489011209441605,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,140,0.7821389238764641,0.7741292841496152,0.7672085638476279,0.7664987743763196,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,150,0.784858823252743,0.7796883648150224,0.7815225888310641,0.7866035694715824,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,160,0.7943999383241487,0.7984173288168449,0.7949826452007832,0.7948675056426188,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,170,0.791360934187268,0.7839734917340485,0.793405981140147,0.8001362339691851,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,180,0.7979118653081801,0.8015834138798441,0.7989694895395604,0.8073654359516572,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,190,0.7804955126617577,0.7758499685174725,0.809047980730674,0.8073868350099137,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,200,0.8030785986798902,0.8107364746775009,0.8086866606665362,0.8126436440698419,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,210,0.8077226927441322,0.8166048214453236,0.8284315058946549,0.8272862632300693,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,220,0.786166519791123,0.7976622654453016,0.8178356001850227,0.8218749063292478,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,230,0.7944091813061825,0.8049914546958526,0.8322856330672312,0.8397863506311127,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,240,0.8195453632617136,0.8191836735936788,0.8389149331210187,0.838208472168986,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,250,0.8076151485194741,0.8096657304195837,0.8419064934352647,0.8405106613037212,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,260,0.820180958530891,0.8294629831694955,0.8406039304253118,0.8363416152883221,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,270,0.8201291670261761,0.8275770628744595,0.8467927595572157,0.8309096022354249,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,280,0.8055137919556367,0.8159840155715489,0.8577702208406708,0.8457455320803655,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,290,0.8158319181495967,0.8229410996544094,0.8582585076748699,0.8453756361475183,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,300,0.8330223449707066,0.8447631384661698,0.8683761310219656,0.8566477549445345,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,310,0.805097990766742,0.8190922161036612,0.8591150945365109,0.8431228040043498,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,320,0.8328229380832014,0.8377020295015062,0.867607152092709,0.8515802441837099,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,330,0.8300233664186019,0.8340961397635382,0.8717540446991177,0.8575972424759729,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,340,0.8394497775793365,0.8453538645522338,0.8699363351956477,0.851732556395369,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,350,0.7978817597168559,0.8157634097820945,0.8741387222307183,0.8626231088887168,hate_speech_offensive,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
